Date,Rot,VH,Team,1st,2nd,3rd,Final,Open,Close,Overtime
119,1,V,team_pit,2,0,1,3,-115,-110,0
119,2,H,team_phi,0,1,0,1,6o25,6o30,0
119,3,V,team_ott,1,1,2,4,6u20,6u35,0
119,4,H,team_wpg,1,0,0,1,-120,-125,0
119,5,V,team_chi,3,1,1,5,5o15,5o35,0
119,6,H,team_lak,0,1,1,2,-130,-125,0
119,7,V,team_nyr,0,1,0,1,5o20,5o25,0
119,8,H,team_bos,1,1,1,3,-120,-140,0
119,9,V,team_tor,1,1,0,2,5.5u20,5.5u25,0
119,10,H,team_mtl,0,0,1,1,-135,-140,0
119,11,V,team_njd,0,1,1,2,-120,-120,0
119,12,H,team_nyi,0,0,1,1,5o20,5o35,0
119,13,V,team_wsh,1,2,0,3,-104,6u40,0
119,14,H,team_tbl,2,1,3,6,6u20,-115,0
119,15,V,team_car,0,1,0,1,5o25,5o40,0
119,16,H,team_fla,4,1,0,5,-120,-120,0
119,17,V,team_det,0,0,0,0,5o15,5o30,0
119,18,H,team_stl,2,2,2,6,-135,-140,0
119,19,V,team_cbj,1,1,0,3,5.5u20,5.5u25,1
119,20,H,team_nsh,2,0,0,2,-182,-170,0
119,21,V,team_ari,0,2,1,3,5o15,5o25,0
119,22,H,team_dal,1,1,2,4,-125,-120,0
119,23,V,team_col,1,0,1,2,5o25,5o25,0
119,24,H,team_min,0,3,1,4,-130,-135,0
119,25,V,team_ana,2,4,1,7,5.5u15,5.5u45,0
119,26,H,team_van,2,0,1,3,-175,-150,0
120,51,V,team_phi,0,2,0,2,5.5o10,5.5o15,0
120,52,H,team_buf,1,1,3,5,-115,-135,0
120,53,V,team_pit,3,1,2,6,5.5u10,-110,0
120,54,H,team_nyr,1,0,2,3,-115,5.5u35,0
120,55,V,team_sjs,0,3,1,4,-104,-125,0
120,56,H,team_cgy,1,0,0,1,5o35,5o40,0
120,57,V,team_dal,0,0,0,0,5o35,5o45,0
120,58,H,team_min,1,0,0,1,-145,-155,0
120,59,V,team_edm,0,1,1,3,5.5u10,5.5u25,1
120,60,H,team_van,1,1,0,2,-150,-140,0
120,61,V,team_chi,1,3,2,6,-115,-110,0
120,62,H,team_ari,1,1,2,4,5.5u40,5.5u35,0
